record_index,ticker,rule_prediction,rule_confidence,finbert_prediction,finbert_confidence,label,rule_correct,finbert_correct
1,AAPL,UP,0.76,DOWN,0.4135,UP,1,0
2,AAPL,HOLD,0.5,UP,0.406,HOLD,1,0
3,AAPL,UP,0.84,UP,0.4671,UP,1,1
4,AAPL,HOLD,0.5,UP,0.556,UP,0,1
5,AAPL,HOLD,0.5,UP,0.5814,DOWN,0,0
6,AAPL,HOLD,0.5,UP,0.6477,HOLD,1,0
7,AAPL,HOLD,0.5,UP,0.7655,UP,0,1
8,AAPL,HOLD,0.5,UP,0.6442,UP,0,1
9,AAPL,UP,0.79,UP,0.5383,UP,1,1
10,AAPL,HOLD,0.5,UP,0.447,HOLD,1,0
11,AAPL,HOLD,0.5,DOWN,0.4615,UP,0,0
12,AAPL,HOLD,0.5,UP,0.4654,UP,0,1
13,AAPL,DOWN,0.71,UP,0.444,DOWN,1,0
14,AAPL,HOLD,0.5,UP,0.6118,UP,0,1
15,AAPL,HOLD,0.5,DOWN,0.4584,UP,0,0
16,AAPL,UP,0.81,UP,0.4774,UP,1,1
17,AAPL,HOLD,0.5,UP,0.5677,UP,0,1
18,AAPL,UP,0.79,UP,0.5903,DOWN,0,0
19,AAPL,UP,0.76,DOWN,0.4151,UP,1,0
20,AAPL,UP,0.81,UP,0.6134,DOWN,0,0
21,AAPL,UP,0.79,UP,0.5588,DOWN,0,0
22,AAPL,UP,0.79,UP,0.5595,HOLD,0,0
23,AAPL,HOLD,0.5,UP,0.4901,UP,0,1
24,AAPL,UP,0.79,DOWN,0.4296,HOLD,0,0
25,AAPL,HOLD,0.5,UP,0.4805,UP,0,1
26,AAPL,UP,0.87,DOWN,0.4665,DOWN,0,1
27,AAPL,HOLD,0.5,UP,0.4532,DOWN,0,0
28,AAPL,UP,0.79,UP,0.5169,DOWN,0,0
29,AAPL,UP,0.71,DOWN,0.5045,HOLD,0,0
30,AAPL,UP,0.71,UP,0.4691,HOLD,0,0
31,AAPL,HOLD,0.5,DOWN,0.4274,DOWN,0,1
32,AAPL,HOLD,0.5,UP,0.5025,UP,0,1
33,AAPL,UP,0.71,UP,0.436,HOLD,0,0
34,AAPL,HOLD,0.5,DOWN,0.4972,DOWN,0,1
35,AAPL,DOWN,0.78,UP,0.6037,HOLD,0,0
36,AAPL,HOLD,0.5,UP,0.4695,UP,0,1
37,AAPL,HOLD,0.5,UP,0.4884,UP,0,1
38,AAPL,HOLD,0.5,UP,0.5938,DOWN,0,0
39,AAPL,DOWN,0.74,UP,0.4331,UP,0,1
40,AAPL,DOWN,0.74,DOWN,0.4739,DOWN,1,1
41,AAPL,HOLD,0.5,UP,0.4355,DOWN,0,0
42,AAPL,UP,0.74,UP,0.4395,UP,1,1
43,AAPL,UP,0.79,UP,0.5646,UP,1,1
44,AAPL,HOLD,0.5,DOWN,0.4706,HOLD,1,0
45,AAPL,HOLD,0.5,DOWN,0.4701,UP,0,0
46,AAPL,HOLD,0.5,DOWN,0.4156,DOWN,0,1
47,AAPL,UP,0.79,DOWN,0.5057,UP,1,0
48,AAPL,HOLD,0.5,UP,0.6537,UP,0,1
49,AAPL,HOLD,0.5,DOWN,0.4663,DOWN,0,1
50,AAPL,HOLD,0.5,DOWN,0.4295,UP,0,0
51,AAPL,UP,0.76,DOWN,0.5071,UP,1,0
52,AAPL,HOLD,0.5,UP,0.5206,DOWN,0,0
53,AAPL,HOLD,0.5,UP,0.53,HOLD,1,0
54,AAPL,HOLD,0.5,DOWN,0.4444,UP,0,0
55,AAPL,HOLD,0.5,UP,0.5146,UP,0,1
56,AAPL,HOLD,0.5,DOWN,0.4467,UP,0,0
57,AAPL,UP,0.79,DOWN,0.4147,UP,1,0
58,AAPL,HOLD,0.5,DOWN,0.4658,HOLD,1,0
59,AAPL,HOLD,0.5,DOWN,0.5037,DOWN,0,1
60,AAPL,HOLD,0.5,UP,0.6409,UP,0,1
61,AAPL,UP,0.76,UP,0.583,DOWN,0,0
62,AAPL,UP,0.74,UP,0.5671,DOWN,0,0
63,AAPL,DOWN,0.79,UP,0.4994,HOLD,0,0
64,AAPL,UP,0.74,UP,0.6879,UP,1,1
65,AAPL,UP,0.82,UP,0.5564,HOLD,0,0
66,AAPL,UP,0.79,UP,0.5513,HOLD,0,0
67,AAPL,HOLD,0.5,UP,0.5519,UP,0,1
68,AAPL,HOLD,0.5,UP,0.3899,UP,0,1
69,AAPL,HOLD,0.5,UP,0.3886,DOWN,0,0
70,AAPL,HOLD,0.5,UP,0.4084,DOWN,0,0
71,AAPL,HOLD,0.5,UP,0.4084,HOLD,1,0
72,AAPL,HOLD,0.5,UP,0.4195,DOWN,0,0
73,AAPL,UP,0.74,UP,0.5195,HOLD,0,0
74,AAPL,UP,0.71,UP,0.5176,UP,1,1
75,AAPL,HOLD,0.5,UP,0.6065,UP,0,1
76,AAPL,UP,0.79,UP,0.4622,HOLD,0,0
77,AAPL,HOLD,0.5,UP,0.42,DOWN,0,0
78,AAPL,HOLD,0.5,DOWN,0.4198,DOWN,0,1
79,AAPL,UP,0.79,UP,0.3792,DOWN,0,0
80,AAPL,DOWN,0.79,UP,0.6616,UP,0,1
81,AAPL,HOLD,0.5,UP,0.5615,HOLD,1,0
82,AAPL,UP,0.79,UP,0.5404,DOWN,0,0
83,AAPL,UP,0.81,UP,0.5442,UP,1,1
84,AAPL,HOLD,0.5,UP,0.478,HOLD,1,0
85,AAPL,UP,0.76,DOWN,0.3917,DOWN,0,1
86,AAPL,HOLD,0.5,DOWN,0.4949,HOLD,1,0
87,AAPL,DOWN,0.82,UP,0.5343,HOLD,0,0
88,AAPL,HOLD,0.5,UP,0.557,HOLD,1,0
89,AAPL,HOLD,0.5,UP,0.5591,UP,0,1
90,AAPL,HOLD,0.5,UP,0.5571,HOLD,1,0
91,AAPL,HOLD,0.5,UP,0.5548,DOWN,0,0
92,AAPL,HOLD,0.5,UP,0.4499,DOWN,0,0
93,AAPL,HOLD,0.5,UP,0.4157,HOLD,1,0
94,AAPL,HOLD,0.5,DOWN,0.4423,UP,0,0
95,AAPL,HOLD,0.5,DOWN,0.51,UP,0,0
96,AAPL,DOWN,0.74,UP,0.4602,UP,0,1
97,AAPL,UP,0.79,UP,0.4918,HOLD,0,0
98,AAPL,UP,0.79,UP,0.4705,UP,1,1
99,AAPL,UP,0.81,UP,0.5415,HOLD,0,0
100,AAPL,DOWN,0.74,DOWN,0.431,DOWN,1,1
101,AAPL,HOLD,0.5,DOWN,0.4449,HOLD,1,0
102,AAPL,HOLD,0.5,DOWN,0.4474,DOWN,0,1
103,AAPL,UP,0.76,UP,0.6011,UP,1,1
104,AAPL,UP,0.76,UP,0.5998,HOLD,0,0
105,AAPL,UP,0.78,UP,0.4965,UP,1,1
106,AAPL,DOWN,0.71,DOWN,0.5423,HOLD,0,0
107,AAPL,DOWN,0.71,DOWN,0.4154,HOLD,0,0
108,AAPL,HOLD,0.5,UP,0.6218,UP,0,1
109,AAPL,HOLD,0.5,DOWN,0.4602,DOWN,0,1
110,AAPL,DOWN,0.71,DOWN,0.3964,HOLD,0,0
111,AAPL,HOLD,0.5,UP,0.5296,DOWN,0,0
112,AAPL,HOLD,0.5,UP,0.4908,UP,0,1
113,AAPL,HOLD,0.5,UP,0.4913,HOLD,1,0
114,AAPL,HOLD,0.5,UP,0.4912,DOWN,0,0
115,AAPL,HOLD,0.5,DOWN,0.4732,UP,0,0
116,AAPL,HOLD,0.5,DOWN,0.4724,UP,0,0
117,AAPL,HOLD,0.5,UP,0.49,HOLD,1,0
118,AAPL,HOLD,0.5,UP,0.467,UP,0,1
119,AAPL,HOLD,0.5,UP,0.4377,DOWN,0,0
120,AAPL,UP,0.76,UP,0.499,DOWN,0,0
121,AAPL,UP,0.82,UP,0.441,HOLD,0,0
122,AAPL,HOLD,0.5,DOWN,0.6076,DOWN,0,1
123,AAPL,DOWN,0.71,UP,0.5413,DOWN,1,0
124,AAPL,HOLD,0.5,UP,0.5106,HOLD,1,0
125,AAPL,HOLD,0.5,UP,0.5484,UP,0,1
126,AAPL,HOLD,0.5,UP,0.5584,HOLD,1,0
127,AAPL,UP,0.71,UP,0.4529,HOLD,0,0
128,AAPL,HOLD,0.5,UP,0.417,UP,0,1
129,AAPL,HOLD,0.5,UP,0.5122,HOLD,1,0
130,AAPL,UP,0.78,UP,0.6275,UP,1,1
131,AAPL,HOLD,0.5,UP,0.4992,DOWN,0,0
132,AAPL,HOLD,0.5,UP,0.4919,DOWN,0,0
133,AAPL,HOLD,0.5,DOWN,0.389,HOLD,1,0
134,AAPL,HOLD,0.5,DOWN,0.3911,HOLD,1,0
135,AAPL,DOWN,0.79,UP,0.4281,HOLD,0,0
136,AAPL,UP,0.74,UP,0.602,DOWN,0,0
137,AAPL,HOLD,0.5,DOWN,0.6384,UP,0,0
138,AAPL,HOLD,0.5,UP,0.522,HOLD,1,0
139,AAPL,HOLD,0.5,UP,0.5328,HOLD,1,0
140,AAPL,HOLD,0.5,UP,0.4676,DOWN,0,0
141,AAPL,HOLD,0.5,UP,0.4607,DOWN,0,0
142,AAPL,DOWN,0.79,DOWN,0.4371,DOWN,1,1
143,AAPL,DOWN,0.84,DOWN,0.4258,DOWN,1,1
