record_index,ticker,rule_prediction,rule_confidence,finbert_prediction,finbert_confidence,label,rule_correct,finbert_correct
1,AAPL,UP,0.76,UP,0.76,UP,1,1
2,AAPL,HOLD,0.5,HOLD,0.5,HOLD,1,1
3,AAPL,UP,0.84,UP,0.84,UP,1,1
4,AAPL,HOLD,0.5,HOLD,0.5,UP,0,0
5,AAPL,HOLD,0.5,HOLD,0.5,DOWN,0,0
6,AAPL,HOLD,0.5,HOLD,0.5,HOLD,1,1
7,AAPL,HOLD,0.5,HOLD,0.5,UP,0,0
8,AAPL,HOLD,0.5,HOLD,0.5,UP,0,0
9,AAPL,UP,0.79,UP,0.79,UP,1,1
10,AAPL,UP,0.78,UP,0.78,HOLD,0,0
11,AAPL,UP,0.78,UP,0.78,UP,1,1
12,AAPL,UP,0.78,UP,0.78,UP,1,1
13,AAPL,UP,0.81,UP,0.81,DOWN,0,0
14,AAPL,UP,0.78,UP,0.78,UP,1,1
15,AAPL,UP,0.81,UP,0.81,UP,1,1
16,AAPL,UP,0.81,UP,0.81,UP,1,1
17,AAPL,UP,0.81,UP,0.81,UP,1,1
18,AAPL,UP,0.81,UP,0.81,DOWN,0,0
19,AAPL,UP,0.78,UP,0.78,UP,1,1
20,AAPL,UP,0.81,UP,0.81,DOWN,0,0
21,AAPL,UP,0.78,UP,0.78,DOWN,0,0
22,AAPL,UP,0.78,UP,0.78,HOLD,0,0
23,AAPL,UP,0.76,UP,0.76,UP,1,1
24,AAPL,UP,0.81,UP,0.81,HOLD,0,0
25,AAPL,UP,0.73,UP,0.73,UP,1,1
26,AAPL,UP,0.81,UP,0.81,DOWN,0,0
27,AAPL,UP,0.81,UP,0.81,DOWN,0,0
28,AAPL,UP,0.78,UP,0.78,DOWN,0,0
29,AAPL,UP,0.73,UP,0.73,HOLD,0,0
30,AAPL,UP,0.73,UP,0.73,HOLD,0,0
31,AAPL,UP,0.73,UP,0.73,DOWN,0,0
32,AAPL,UP,0.76,UP,0.76,UP,1,1
33,AAPL,UP,0.73,UP,0.73,HOLD,0,0
34,AAPL,UP,0.76,UP,0.76,DOWN,0,0
35,AAPL,UP,0.76,UP,0.76,HOLD,0,0
36,AAPL,UP,0.73,UP,0.73,UP,1,1
37,AAPL,UP,0.81,UP,0.81,UP,1,1
38,AAPL,UP,0.81,UP,0.81,DOWN,0,0
39,AAPL,UP,0.78,UP,0.78,UP,1,1
40,AAPL,UP,0.78,UP,0.78,DOWN,0,0
41,AAPL,UP,0.81,UP,0.81,DOWN,0,0
42,AAPL,UP,0.76,UP,0.76,UP,1,1
43,AAPL,UP,0.76,UP,0.76,UP,1,1
44,AAPL,UP,0.78,UP,0.78,HOLD,0,0
45,AAPL,UP,0.81,UP,0.81,UP,1,1
46,AAPL,UP,0.78,UP,0.78,DOWN,0,0
47,AAPL,UP,0.81,UP,0.81,UP,1,1
48,AAPL,UP,0.78,UP,0.78,UP,1,1
49,AAPL,UP,0.81,UP,0.81,DOWN,0,0
50,AAPL,UP,0.81,UP,0.81,UP,1,1
51,AAPL,UP,0.78,UP,0.78,UP,1,1
52,AAPL,UP,0.78,UP,0.78,DOWN,0,0
53,AAPL,UP,0.78,UP,0.78,HOLD,0,0
54,AAPL,UP,0.73,UP,0.73,UP,1,1
55,AAPL,UP,0.81,UP,0.81,UP,1,1
56,AAPL,UP,0.78,UP,0.78,UP,1,1
57,AAPL,UP,0.81,UP,0.81,UP,1,1
58,AAPL,UP,0.78,UP,0.78,HOLD,0,0
59,AAPL,UP,0.78,UP,0.78,DOWN,0,0
60,AAPL,UP,0.81,UP,0.81,UP,1,1
61,AAPL,UP,0.78,UP,0.78,DOWN,0,0
62,AAPL,UP,0.76,UP,0.76,DOWN,0,0
63,AAPL,UP,0.73,UP,0.73,HOLD,0,0
64,AAPL,UP,0.76,UP,0.76,UP,1,1
65,AAPL,UP,0.81,UP,0.81,HOLD,0,0
66,AAPL,UP,0.78,UP,0.78,HOLD,0,0
67,AAPL,UP,0.78,UP,0.78,UP,1,1
68,AAPL,UP,0.81,UP,0.81,UP,1,1
69,AAPL,UP,0.78,UP,0.78,DOWN,0,0
70,AAPL,UP,0.81,UP,0.81,DOWN,0,0
71,AAPL,UP,0.76,UP,0.76,HOLD,0,0
72,AAPL,UP,0.78,UP,0.78,DOWN,0,0
73,AAPL,UP,0.76,UP,0.76,HOLD,0,0
74,AAPL,UP,0.73,UP,0.73,UP,1,1
75,AAPL,UP,0.81,UP,0.81,UP,1,1
76,AAPL,UP,0.78,UP,0.78,HOLD,0,0
77,AAPL,UP,0.78,UP,0.78,DOWN,0,0
78,AAPL,UP,0.78,UP,0.78,DOWN,0,0
79,AAPL,UP,0.81,UP,0.81,DOWN,0,0
80,AAPL,UP,0.76,UP,0.76,UP,1,1
81,AAPL,UP,0.81,UP,0.81,HOLD,0,0
82,AAPL,UP,0.78,UP,0.78,DOWN,0,0
83,AAPL,UP,0.78,UP,0.78,UP,1,1
84,AAPL,UP,0.81,UP,0.81,HOLD,0,0
85,AAPL,UP,0.78,UP,0.78,DOWN,0,0
86,AAPL,UP,0.73,UP,0.73,HOLD,0,0
87,AAPL,UP,0.73,UP,0.73,HOLD,0,0
88,AAPL,UP,0.81,UP,0.81,HOLD,0,0
89,AAPL,UP,0.76,UP,0.76,UP,1,1
90,AAPL,UP,0.81,UP,0.81,HOLD,0,0
91,AAPL,UP,0.78,UP,0.78,DOWN,0,0
92,AAPL,UP,0.78,UP,0.78,DOWN,0,0
93,AAPL,UP,0.76,UP,0.76,HOLD,0,0
94,AAPL,UP,0.73,UP,0.73,UP,1,1
95,AAPL,UP,0.76,UP,0.76,UP,1,1
96,AAPL,UP,0.78,UP,0.78,UP,1,1
97,AAPL,UP,0.81,UP,0.81,HOLD,0,0
98,AAPL,UP,0.81,UP,0.81,UP,1,1
99,AAPL,UP,0.78,UP,0.78,HOLD,0,0
100,AAPL,UP,0.78,UP,0.78,DOWN,0,0
101,AAPL,UP,0.81,UP,0.81,HOLD,0,0
102,AAPL,UP,0.78,UP,0.78,DOWN,0,0
103,AAPL,UP,0.78,UP,0.78,UP,1,1
104,AAPL,UP,0.78,UP,0.78,HOLD,0,0
