record_index,ticker,rule_prediction,rule_confidence,finbert_prediction,finbert_confidence,label,rule_correct,finbert_correct
1,AAPL,HOLD,0.5,UP,0.4139,UP,0,1
2,AAPL,HOLD,0.5,UP,0.4134,HOLD,1,0
3,AAPL,HOLD,0.5,UP,0.4137,UP,0,1
4,AAPL,HOLD,0.5,UP,0.4128,DOWN,0,0
5,AAPL,HOLD,0.5,UP,0.414,DOWN,0,0
6,AAPL,HOLD,0.5,UP,0.4134,UP,0,1
7,AAPL,HOLD,0.5,UP,0.4139,UP,0,1
8,AAPL,HOLD,0.5,UP,0.4133,DOWN,0,0
9,AAPL,HOLD,0.5,UP,0.414,HOLD,1,0
10,AAPL,HOLD,0.5,UP,0.4136,UP,0,1
11,AAPL,HOLD,0.5,UP,0.4126,UP,0,1
12,AAPL,HOLD,0.5,UP,0.4141,DOWN,0,0
13,AAPL,HOLD,0.5,UP,0.4134,UP,0,1
14,AAPL,HOLD,0.5,UP,0.414,DOWN,0,0
15,AAPL,HOLD,0.5,UP,0.4144,DOWN,0,0
16,AAPL,HOLD,0.5,UP,0.4133,HOLD,1,0
17,AAPL,HOLD,0.5,UP,0.4127,UP,0,1
18,AAPL,HOLD,0.5,UP,0.4141,DOWN,0,0
19,AAPL,HOLD,0.5,UP,0.4138,UP,0,1
20,AAPL,HOLD,0.5,UP,0.411,HOLD,1,0
21,AAPL,HOLD,0.5,UP,0.4142,HOLD,1,0
22,AAPL,HOLD,0.5,UP,0.4136,HOLD,1,0
23,AAPL,HOLD,0.5,UP,0.4113,DOWN,0,0
24,AAPL,HOLD,0.5,UP,0.4138,UP,0,1
25,AAPL,HOLD,0.5,UP,0.4119,DOWN,0,0
26,AAPL,HOLD,0.5,UP,0.4131,HOLD,1,0
27,AAPL,HOLD,0.5,UP,0.4142,HOLD,1,0
28,AAPL,HOLD,0.5,UP,0.4141,DOWN,0,0
29,AAPL,HOLD,0.5,UP,0.4135,DOWN,0,0
30,AAPL,HOLD,0.5,UP,0.4131,UP,0,1
31,AAPL,HOLD,0.5,UP,0.4115,DOWN,0,0
32,AAPL,HOLD,0.5,UP,0.4136,HOLD,1,0
33,AAPL,HOLD,0.5,UP,0.4139,UP,0,1
34,AAPL,HOLD,0.5,UP,0.4139,UP,0,1
35,AAPL,HOLD,0.5,UP,0.4136,UP,0,1
36,AAPL,HOLD,0.5,UP,0.4134,UP,0,1
37,AAPL,HOLD,0.5,UP,0.4131,DOWN,0,0
38,AAPL,HOLD,0.5,UP,0.4139,HOLD,1,0
39,AAPL,HOLD,0.5,UP,0.4134,DOWN,0,0
40,AAPL,HOLD,0.5,UP,0.4135,DOWN,0,0
41,AAPL,HOLD,0.5,UP,0.4143,DOWN,0,0
42,AAPL,HOLD,0.5,UP,0.4131,UP,0,1
43,AAPL,HOLD,0.5,UP,0.4127,DOWN,0,0
44,AAPL,HOLD,0.5,UP,0.4127,HOLD,1,0
45,AAPL,HOLD,0.5,UP,0.4147,HOLD,1,0
46,AAPL,HOLD,0.5,UP,0.4139,DOWN,0,0
47,AAPL,HOLD,0.5,UP,0.4138,UP,0,1
48,AAPL,HOLD,0.5,UP,0.4122,DOWN,0,0
49,AAPL,HOLD,0.5,UP,0.4133,DOWN,0,0
50,AAPL,HOLD,0.5,UP,0.4138,HOLD,1,0
51,AAPL,HOLD,0.5,UP,0.414,DOWN,0,0
52,AAPL,HOLD,0.5,UP,0.4143,HOLD,1,0
53,AAPL,HOLD,0.5,UP,0.4112,DOWN,0,0
54,AAPL,HOLD,0.5,UP,0.4139,HOLD,1,0
55,AAPL,HOLD,0.5,UP,0.4119,UP,0,1
56,AAPL,HOLD,0.5,UP,0.4142,HOLD,1,0
57,AAPL,HOLD,0.5,UP,0.4133,DOWN,0,0
58,AAPL,HOLD,0.5,UP,0.4122,UP,0,1
59,AAPL,HOLD,0.5,UP,0.4139,DOWN,0,0
60,AAPL,HOLD,0.5,UP,0.4143,UP,0,1
61,AAPL,HOLD,0.5,UP,0.4141,DOWN,0,0
62,AAPL,HOLD,0.5,UP,0.414,HOLD,1,0
63,AAPL,HOLD,0.5,UP,0.4134,DOWN,0,0
64,AAPL,HOLD,0.5,UP,0.4145,HOLD,1,0
65,AAPL,HOLD,0.5,UP,0.4136,UP,0,1
66,AAPL,HOLD,0.5,UP,0.4143,HOLD,1,0
67,AAPL,HOLD,0.5,UP,0.414,UP,0,1
68,AAPL,HOLD,0.5,UP,0.4126,HOLD,1,0
69,AAPL,HOLD,0.5,UP,0.4119,UP,0,1
70,AAPL,HOLD,0.5,UP,0.4147,UP,0,1
71,AAPL,HOLD,0.5,UP,0.4144,UP,0,1
72,AAPL,HOLD,0.5,UP,0.4137,DOWN,0,0
73,AAPL,HOLD,0.5,UP,0.411,UP,0,1
74,AAPL,HOLD,0.5,UP,0.4146,DOWN,0,0
75,AAPL,HOLD,0.5,UP,0.4133,DOWN,0,0
76,AAPL,HOLD,0.5,UP,0.4144,DOWN,0,0
77,AAPL,HOLD,0.5,UP,0.4122,UP,0,1
78,AAPL,HOLD,0.5,UP,0.414,UP,0,1
79,AAPL,HOLD,0.5,UP,0.4147,UP,0,1
80,AAPL,HOLD,0.5,UP,0.4142,UP,0,1
81,AAPL,HOLD,0.5,UP,0.4125,UP,0,1
82,AAPL,HOLD,0.5,UP,0.4125,HOLD,1,0
83,AAPL,HOLD,0.5,UP,0.4129,DOWN,0,0
84,AAPL,HOLD,0.5,UP,0.4119,UP,0,1
85,AAPL,HOLD,0.5,UP,0.4144,UP,0,1
86,AAPL,HOLD,0.5,UP,0.4137,HOLD,1,0
87,AAPL,HOLD,0.5,UP,0.4133,HOLD,1,0
88,AAPL,HOLD,0.5,UP,0.4123,HOLD,1,0
89,AAPL,HOLD,0.5,UP,0.4133,UP,0,1
90,AAPL,HOLD,0.5,UP,0.413,UP,0,1
91,AAPL,HOLD,0.5,UP,0.4138,UP,0,1
92,AAPL,HOLD,0.5,UP,0.4136,DOWN,0,0
93,AAPL,HOLD,0.5,UP,0.4141,UP,0,1
94,AAPL,HOLD,0.5,UP,0.4142,HOLD,1,0
95,AAPL,HOLD,0.5,UP,0.4133,HOLD,1,0
96,AAPL,HOLD,0.5,UP,0.4134,DOWN,0,0
97,AAPL,HOLD,0.5,UP,0.4134,UP,0,1
98,AAPL,HOLD,0.5,UP,0.4126,UP,0,1
99,AAPL,HOLD,0.5,UP,0.4139,HOLD,1,0
